to ride a bike	andare in bicicletta
to go to the gym	andare in palestra
to go on vacation	andare in vacanza
to open	aprire
to drink	bere
to understand	capire
to call	chiamare
to close	chiudere
to run	correre
to paint	dipingere
to say, to tell	dire
to draw	disegnare
to sleep	dormire
to have to, must	dovere
to finish	finire
to play (a sport)	giocare a
to play on the computer	giocare con il computer
to invite	invitare
to leave, to leave (someone) behind	lasciare
to read	leggere
to put, to place	mettere
to offer	offrire
to snow	nevicare
it is snowing	nevica
to swim	nuotare
to leave, to depart	partire
to spend (time)	passare
to skate	pattinare
to lose, to waste, to miss	perdere
to rain	piovere
it is raining	piove
to be able to (can, may)	potere
to practice (a sport)	praticare (uno sport)
to prefer to	preferire
to take	prendere
to clean	pulire
to receive	ricevere
to answer, to reply	rispondere
to greet	salutare
to write	scrivere
to follow	seguire
to take a class	seguire un corso
to hear	sentire
to server	servire
to go out, to exit	uscire
to go out with someone	uscire con qualcuno
to see	vedere
to come	venire
to travel	viaggiare
to win	vincere
to want	volere
to do aerobics	fare aerobica
to lift weights	fare sollevamento pesi
to plan, to make plans	fare un programma
to take a walk	fare una passeggiata
appointment, date	l'appuntamento
martial arts	le arti marziali
fall, autumn	l'autunno
dancing	il ballo
basketball (sport, American)	il basket
lie	la bugia
soccer	il calcio
CD	il CD
computer	il computer
concert	il concerto
email (f, American)	l'email
summer (f)	l'estate
window	la finestra
football	il football americano
game, match (short)	la gara
player (m)	il giocatore
player (f)	la giocatrice
newspaper	il giornale
(whole) day	la giornata
hobby	l'hobby
winter	l'inverno
letter	la lettera
music	la musica
fog	la nebbia
snow	le neve
swimming	il nuoto
ball	la palla
basketball (sport)	la pallacanestro
game, match (long)	la partita
pastime	il passatempo
skating	il pattinaggio
rain	la pioggia
poetry, poem	la poesia
email (Italian)	la posta elettronica
spring	la primavera
plan	il programma
short story	il racconto
magazine	la rivista
skiing	lo sci
whole evening	la serata
sport	lo sport
team	la squadra
season (of the year)	la stagione
instrument	lo strumento
theater	il teatro
television	la televisione
tennis	il tennis
wind	il vento
truth	la verità
free, spare (with time)	libero
few	poco
what time is it (s)	che ora è
what time is it (p)	che ore sono
it is ... o'clock	sono le
it is one o'clock	È l'una
noon	il mezzogiorno
midnight	la mezzanotte
night	la notte
quarter after/til	un quarto
half past	mezzo
A.M	di mattina
P.M (12 - 5)	del pomeriggio
P.M (5-10)	di sera
P.M, A.M (10-early morning)	di notte
that (transition)	che
alone	da solo
usually	di solito
afterwards	dopo
on the other hand	invece
or	o
if	se
immediately	subito
late	tardi
everybody	tutti
I see (vedere)	vedo
you see (vedere)	vedi
he/she sees (vedere)	vede
we see (vedere)	vediamo
you all see (vedere)	vedete
they see (vedere)	vedono
I sleep (dormire)	dormo
you sleep (dormire)	dormi
he/she sleeps (dormire)	dorme
we sleep (dormire)	dormiamo
you all sleep (dormire)	dormite
they sleep (dormire)	dormono
I understand (capire)	capisco
you understand (capire)	capisci
he/she understands (capire)	capisce
we understand (capire)	capiamo
you all understand (capire)	capite
they understand	capiscono
I have to (dovere)	devo
you have to (dovere)	devi
he/she has to (dovere)	deve
we have to (dovere)	dobbiamo
you all have to (dovere)	dovete
they have to (dovere)	devono
I can (potere)	posso
you can (potere)	puoi
he/she can (potere)	può
we can (potere)	possiamo
you all can (potere)	potete
they can (potere)	possono
I want (volere)	voglio
you want (volere)	vuoi
he/she wants (volere)	vuole
we want (volere)	vogliamo
you all want (volere)	volete
they want (volere)	vogliono
I say (dire)	dico
you say (dire)	dici
he/she says (dire)	dice
we say (dire)	diciamo
you all say (dire)	dite
they say (dire)	dicono
I go out (uscire)	esco
you go out (uscire)	esci
he/she goes out (uscire)	esce
we go out (uscire)	usciamo
you all go out (uscire)	uscite
they go out (uscire)	escono
I come (venire)	vengo
you come (venire)	vieni
he/she comes (venire)	viene
we come (venire)	veniamo
you all come (venire)	venite
they come (venire)	vengono
io (direct object)	mi
tu (direct object)	ti
Lei (direct object)	La
lui (direct object)	lo
lei (direct object)	la
noi (direct object)	ci
voi (direct object)	vi
Loro (M, direct object)	Li
Loro (F, direct object)	Le
loro (m, direct object)	li
loro (f, direct object)	le
a quarter of an hour	un quarto d'ora
half an hour	mezz'ora
to select	scegliere
I drink (bere)	bevo
you drink (bere)	bevi
he/she drinks (bere)	beve
we drink (bere)	beviamo
you all drink (bere)	bevete
they drink (bere)	bevono
