to enjoy oneself	godersi
to escape	scappare
to cross	attraversare
to kill	uccidere
sponge	la spugna
cup and saucer	la tazza e il piattino
gas stove	la cucina a gas
sink	il lavandino
kitchen cabinet	la credenza
fridge	il frigorifero
back door	la porta posteriore
bathtub	la vasca da bagno
toilet	il water
hairbrush	la spazzola per capelli
comb	il pettine
laundry room	la lavanderia
toothbrush	lo spazzolino da denti
plant	la pianta
carpet	il tappeto
nighttable	il comodino
night lamp	la lampada da notte
wall	il muro
doormat	lo zerbino
front steps	I gradini
painting	il quadro
fireplace	il caminetto
the television	il televisore
piano	il pianoforte
lamp	la lampada
curtain	la tenda
washing machine	la lavatrice
mirror	lo specchio
stove	i fornelli
faucet	il rubinetto
alarm clock	la sveglia
pillow	il cuscino
drawers	i cassetti
bright	luminoso
dark	buio
spacious	spazioso
luxurious	lussuoso
panoramic	panoramico
isolated	isolato
convenient	comodo
inconvenient	scomodo
clean	pulito
floor lamp	la lampada da terra
ceiling light	il lampadario
attic, loft	il sottotetto
dresser	la cassettiera
floor plan	la piantina
a harm	un danno
addiction	la dipendenza
videogames	I videogiochi
caffeine	la caffeina
to gamble	giocare d'azzardo
advice	il consiglio
herbal tea	la tisana
healthy	salutare
symptom	il sintomo
consequence	la conseguenza
to isolate oneself	isolarsi
to drug oneself	drogarsi
unemployed	disoccupato
far away from	lontano da
inside of	dentro
outside of	fuori (da)
nearby	vicino a
to hope	sperare
to save	risparmiare
not even	neppure
shorts	i pantaloncini
underwear	la biancheria intima
charger	il caricatore
blow dryer	il phon
swimsuit	il costume da bagno
suit	il completo da uomo
a list	l'elenco
a space	lo spazio
to burp	ruttare
to avoid	evitare
neighbor	il vicino di casa
to spy	spiare
vacuum cleaner (m)	l'aspirapolvere
shutters	le persiane
gate	il cancello
door handle	la maniglia
rule	la regola
obstacle	l'ostacolo
surround	circondare
to throw away	buttare via
to lock	chiudere a chiave
to go bad	andare a male
to sweep	spazzare
sunscreen	la crema solare
to turn off	spegnere
to turn on	accendere
