the woods	i boschi
boat	la barca
mountain/ski gondolas	la funivia
to ride a bike	girare in bicicletta
monument	il monumento
to scuba dive	fare immersioni
to go underwater fishing	fare pesca subacquea
meadow	il prato
to not support	non supportare
to detest	detestare
to hate	odiare
agency	l'agenzia
organized	organizzato
adventurous	avventuroso
calm	tranquillo
somewhere	da qualche parte
comfortable, convenient	comodo
abundant	abbondante
parking lot	il parcheggio
go ahead (speaking)	dica pure
debit card	il bancomat
sports fan	il tifoso
to think about (someone or something)	pensare a
to think about (doing something)	pensare di
to believe in (a concept/idea)	credere a
to believe in (a person)	credere in
citruses	gli agrumi
lobster	l'aragosta
salmon	il salmone
muscles (shellfish)	le cozze
tabacco store	la tabaccheria
jar	il vasetto
packet	il pacchetto
tube	il tubetto
bag	il sacchetto
can (e.g. beans)	il barattolo
slice	la fetta
soda can	la lattina
pickles	i sottaceti
mini toasts	le fette biscottate
peeled tomatoes	i pomodori pelati
mayonnaise	la maionese
homemade	casereccio
flavorful, savory	saporito
savory	salato
to discover	scoprire
diverse	diverso
shared	condiviso
to share	condividere
waste	lo spreco
simple	semplice
play (concept)	gioco
newstand, kiosk	l'edicola
stationary store	la cartoleria
carton	la busta
dozen	la dozzina
bar (eg. of chocolate)	la tavoletta
tray	la vaschetta
frozen	congelato
almond	la mandorla
to speak of (doing something)	parlare di
newspaper seller	il giornalaio
tobacconist	il tabaccaio
pair	il paio
wrapping	l'incarto
to touch	toccare
check	l'assegno
to satisfy	soddisfare
